"Gender","composite_name","n"
"female","Barbara Tillman",1
"female","Barbara TillmannI",1
"female","Barbora Kerkova",1
"female","Beate Elstad",1
"female","Beatrice Bretherton",1
"female","Beatrice Foong",1
"female","Beatriz Gil",1
"female","Beatriz Mazas",1
"female","Beatriz Oliveira",1
"female","Bei Song",1
"female","Belinda Densley",1
"female","Berit Janssen",1
"female","Bernadette Kaiser",1
"female","Bernadette Park",1
"female","Beth Keleher",1
"female","Bianca Hatin",1
"female","Bianca James",1
"female","Bilge Karaçalı",1
"female","Birgit Lodes",1
"female","Biyu Hu",1
"female","Bokyoung Keum",1
"female","Bonnie McConnell",1
"female","Borbála Szirányi",1
"female","Bozena Kostek",1
"female","Branka Pance",1
"female","Bre-Anna Owusu",1
"female","Brianna DeSantis",1
"female","Brigitta Davidjants",1
"female","Brittany Ebendorf",1
"female","Brittni Glenwright",1
"female","Bronte Ficek",1
"female","Brooke White",1
"female","Bruna Fritzen",1
"female","Bruna de Oliveira",1
"female","Bryony Buck",1
"female","Burçin Çifdalöz",1
"female","Caitlyn Trevor",1
"female","Caliani Hoarau",1
"female","Camelia Truța",1
"female","Camila Bruder",1
"female","Camilla Rosam",1
"female","Cansu Çetin",1
"female","Carla Cash",1
"female","Carla Kam",1
"female","Carla Vidal",1
"female","Carly Fay",1
"female","Carly Strohbach",1
"female","Carmem Neufeld",1
"female","Carmen Román-Torres",1
"female","Carmen Sáez-Zea",1
"female","Carol Christensen",1
"female","Carole Nielsen",1
"female","Carolin Hilzendegen",1
"female","Carolin Schroeder",1
"female","Carolina Bonastre",1
"female","Carolina Díaz-Piedra",1
"female","Carolina Ramirez",1
"female","Carolina Sá",1
"female","Caroline Cance",1
"female","Caroline Curwen",1
"female","Caroline Wakefield",1
"female","Caroline Walter",1
"female","Carolyn Dayton",1
"female","Carolyn Granier-Deferre",1
"female","Carolyn Kroger",1
"female","Cassandra Alexopoulos",1
"female","Cassandra Brown",1
"female","Cassandra Ellis",1
"female","Cassandra Thomson",1
"female","Catherine Amiot",1
"female","Catherine Fountain",1
"female","Catherine Jackson",1
"female","Catherine Liégeois-Chauvlet",1
"female","Catherine Martin",1
"female","Catherine Roquet",1
"female","Catherine Warrier",1
"female","Cayenna Ponchione-Bailey",1
"female","Cecilia Durojaye",1
"female","Cecilia Guiot",1
"female","Cecilia Hultberg",1
"female","Cecilia Wallerstedt",1
"female","Celia Duffy",1
"female","Chae-Eun Lee",1
"female","Chantal Buteau",1
"female","Charlotte Krahé",1
"female","Charlotte Wilson",1
"female","Chelsea Douglas",1
"female","Chelsea Grothe",1
"female","Chen-Jung Chen",1
"female","Chenchen Zhang",1
"female","Chia-Fen Wu",1
"female","Chiara Rossi",1
"female","Chie Ohsawa",1
"female","Chih-Fang Huang",1
"female","Chinasa Nnanyelugo",1
"female","Chloé Jaunin",1
"female","Choi Deblieck",1
"female","Chrisoula Alexandraki",1
"female","Christa Foss",1
"female","Christa Powell",1
"female","Christabel Heasman-Cossins",1
"female","Christelle Engelbrecht",1
"female","Christin Arndt",1
"female","Christina Anagnostopoulou",1
"female","Christina Avila",1
"female","Christina Chin",1
"female","Christina Dravins",1
"female","Christina Guthier",1
"female","Christina Knussen",1
"female","Christina Liu",1
"female","Christina Saalwirth",1
"female","Christina Schonk",1
"female","Christina Spinelli",1
"female","Christine Bresin",1
"female","Christine Carter",1
"female","Christine Deng",1
"female","Christine Gebhardt",1
"female","Christine Kohlmetz",1
"female","Christine Loignon",1
"female","Christine Mohn",1
"female","Christine Tsang",1
"female","Christy Peaslee",1
"female","Chuansheng Chen",1
"female","Cintia Rodríguez-Garrido",1
"female","Cinzia Cruder",1
"female","Claire Castle",1
"female","Claire Flower",1
"female","Claire Howlin",1
"female","Claire McDonald",1
"female","Clara Levelt",1
"female","Clara Muela-Molina",1
"female","Clare Tan",1
"female","Clarissa Thompson",1
"female","Clarisse Scofield",1
"female","Claudia Bullerjahn",1
"female","Claudia Feitosa-Santana",1
"female","Claudia Iorio",1
"female","Claudia Kubicek",1
"female","Claudia Molitor",1
"female","Claudia Neuhauser",1
"female","Claudia Picard-Deland",1
"female","Claudia Pulcini",1
"female","Clorinda Panebianco",1
"female","Clorinda Panebianco-Warrens",1
"female","Clude Alain",1
"female","Clémence Nineuil",1
"female","Cochavit Elefant",1
"female","Colleen Chen",1
"female","Colleen O'Neill",1
"female","Constanza Rincón",1
"female","Coralie Vincent",1
"female","Cornelia Metzig",1
"female","Cornelia Wrzus",1
"female","Courtney Crappell",1
"female","Courtney Reed",1
"female","Crescent Jicol",1
"female","Cristin McDonough",1
"female","Cristina Di Pietro",1
"female","Cristina Gerling",1
"female","Cristina Ghirardini",1
"female","Cristina Harney",1
"female","Cristina Radu-Giurgiu",1
"female","Cristina Santacatalina-Pulido",1
"female","Cuihong Liu",1
"female","Cyndi Garvan",1
"female","Cynthia Wagoner",1
"female","Céline Bodéré",1
"female","Cêline Marie",1
"female","Da Choi",1
"female","Dafna Fradkin",1
"female","Dafna Kohn",1
"female","Dagmar Schuller",1
"female","Dagmar Slot",1
"female","Dana Olivieri",1
"female","Dana Strait",1
"female","Daniela Czernochowski",1
"female","Daniela De Filippis",1
"female","Daniela Kaiser",1
"female","Daniele Ghisi",1
"female","Daniele Schoen",1
"female","Danielle Dai",1
"female","Danielle Nadeau",1
"female","Darbi Lamrani",1
"female","Darina Petrovsky",1
"female","Darlene Demarie",1
"female","Dawn Chai-Wi-Ting",1
"female","Dawn Joseph",1
"female","Dawn Mechanic-Hamilton",1
"female","Deanna Friesen",1
"female","Deanna Swain",1
"female","Debbie Carroll",1
"female","Debbie Winter",1
"female","Debora Baldwin",1
"female","Deborah Confredo",1
"female","Deborah De Graaff",1
"female","Deborah Derks",1
"female","Deborah Meier",1
"female","Deimantė Kavaliauskaitė",1
"female","Denise Jungbluth",1
"female","Denise Tsunoda",1
"female","Diana Boer",1
"female","Diana Dansereau",1
"female","Diana Deutsch",1
"female","Diana Dumlavwalla",1
"female","Diana Kayser",1
"female","Dimitra Koniari",1
"female","Dina Arch",1
"female","Dominique Lamy",1
"female","Dona Jayakody",1
"female","Donna Abecasis",1
"female","Donna Berthelsen",1
"female","Donna Jessop",1
"female","Donya Quick",1
"female","Dora Herrera",1
"female","Dorit Amir",1
"female","Dorothée Morand-Grondin",1
"female","Dunja Dopudj",1
"female","Débora Corrêa",1
"female","Ebtesam Sajjadi",1
"female","Edina Barabás",1
"female","Edith Lee",1
"female","Edith van Dyck",1
"female","Efrat Roginsky",1
"female","Elaine Paravati",1
"female","Eleanor Martin",1
"female","Elena Commodari",1
"female","Elena Nicoladis",1
"female","Eleni Papagiannopoulou",1
"female","Eleonora Ghiraldini",1
